L 11.005344, 42.877115, -9, 20.193966, 130.31723, -9, 200, 200, 200
L 20.193966, 130.31723, 2, 31.161032, 109.86514, 2, 200, 200, 200
L 31.161032, 109.86514, -7, 70.583186, 124.9819, -7, 200, 200, 200
L 70.583186, 124.9819, 4, 29.086183, 89.116637, 4, 200, 200, 200
L 29.086183, 89.116637, -14, 50.131091, 39.023824, -14, 200, 200, 200
L 50.131091, 39.023824, 2, 25.232888, 69.850168, 2, 200, 200, 200
L 25.232888, 69.850168, 13, 11.005344, 42.877115, 13, 200, 200, 200
L 76.476728, 101.58247, 12, 54.61325, 54.776975, 12, 200, 200, 200
L 54.61325, 54.776975, 0, 40.0376, 87.412001, 0, 200, 200, 200
L 40.0376, 87.412001, -3, 53.859339, 77.96502, -3, 200, 200, 200
L 53.859339, 77.96502, -6, 76.476728, 101.58247, -6, 200, 200, 200
L 196.50479, 133.3936, 9, 174.64132, 86.588104, 9, 200, 200, 200
L 174.64132, 86.588104, -2, 160.06567, 119.22313, -2, 200, 200, 200
L 160.06567, 119.22313, -9, 173.88741, 109.77615, -9, 200, 200, 200
L 173.88741, 109.77615, 4, 196.50479, 133.3936, 4, 200, 200, 200
L 54.546227, 65.874535, 3, 51.209906, 74.797492, 3, 200, 200, 200
L 51.209906, 74.797492, 0, 55.658333, 72.028296, 0, 200, 200, 200
L 55.658333, 72.028296, -13, 54.546227, 65.874535, -13, 200, 200, 200
L 110.55666, 73.329227, -6, 105.53084, 126.46308, -6, 200, 200, 200
L 105.53084, 126.46308, 14, 114.77185, 125.07698, 14, 200, 200, 200
L 114.77185, 125.07698, 12, 110.55666, 73.329227, 12, 200, 200, 200
L 110.00535, 70.146578, -15, 107.63409, 55.02981, -15, 200, 200, 200
L 107.63409, 55.02981, -1, 114.15505, 52.954961, -1, 200, 200, 200
L 114.15505, 52.954961, 9, 110.00535, 70.146578, 9, 200, 200, 200
L 131.93128, 127.35234, -12, 115.94109, 39.334131, -12, 200, 200, 200
L 115.94109, 39.334131, -14, 143.6164, 64.877878, -14, 200, 200, 200
L 143.6164, 64.877878, 8, 164.83415, 40.565156, 8, 200, 200, 200
L 164.83415, 40.565156, -15, 157.45406, 115.34985, -15, 200, 200, 200
L 157.45406, 115.34985, 5, 151.91899, 69.801971, 5, 200, 200, 200
L 151.91899, 69.801971, 10, 144.53891, 76.880358, 10, 200, 200, 200
L 144.53891, 76.880358, -11, 131.62377, 65.801146, -11, 200, 200, 200
L 131.62377, 65.801146, 11, 131.93128, 127.35234, 11, 200, 200, 200
L 202.48439, 132.68849, -2, 176.99337, 65.996877, -2, 200, 200, 200
L 176.99337, 65.996877, -6, 217.00834, 84.966935, -6, 200, 200, 200
L 217.00834, 84.966935, -7, 198.63109, 100.97292, -7, 200, 200, 200
L 198.63109, 100.97292, -13, 202.48439, 132.68849, -13, 200, 200, 200
L 197.14906, 94.15556, 2, 194.77781, 81.706457, 2, 200, 200, 200
L 194.77781, 81.706457, 6, 204.55924, 86.152565, 6, 200, 200, 200
L 204.55924, 86.152565, 5, 197.14906, 94.15556, 5, 200, 200, 200
L 174.60478, 97.78556, -7, 171.26846, 106.70852, -7, 200, 200, 200
L 171.26846, 106.70852, -13, 175.71689, 103.93932, -13, 200, 200, 200
L 175.71689, 103.93932, -4, 174.60478, 97.78556, -4, 200, 200, 200
L 90.22246, 56.249605, 6, 75.05286, 86.783291, 6, 200, 200, 200
L 75.05286, 86.783291, 13, 96.64037, 86.588809, 13, 200, 200, 200
L 96.64037, 86.588809, -12, 82.054214, 123.15143, -12, 200, 200, 200
L 82.054214, 123.15143, -5, 104.80862, 81.921239, -5, 200, 200, 200
L 104.80862, 81.921239, 6, 84.58248, 81.726757, 6, 200, 200, 200
L 84.58248, 81.726757, -11, 90.22246, 56.249605, -11, 200, 200, 200
L 235.50057, 65.195781, 6, 210.80135, 100.786, 6, 200, 200, 200
L 210.80135, 100.786, -3, 230.05507, 100.59151, -3, 200, 200, 200
L 230.05507, 100.59151, 6, 209.24549, 132.48657, 6, 200, 200, 200
L 209.24549, 132.48657, -4, 241.52952, 95.146019, -4, 200, 200, 200
L 241.52952, 95.146019, -2, 225.3875, 94.951537, -2, 200, 200, 200
L 225.3875, 94.951537, 12, 235.50057, 65.195781, 12, 200, 200, 200
P 65.0, 150.0, 0.0, 60, 5, 5, 2, by_Kasima_P1999RED
